State,Regular,Mid-Grade,Premium,Diesel,Day,Month,Year
Alaska,$3.564,$3.776,$3.959,$3.893,17,01,2024
Alabama,$2.813,$3.241,$3.624,$3.742,17,01,2024
Arkansas,$2.642,$3.040,$3.418,$3.584,17,01,2024
Arizona,$3.143,$3.454,$3.743,$3.917,17,01,2024
California,$4.538,$4.756,$4.915,$5.348,17,01,2024
Colorado,$2.662,$3.036,$3.341,$3.545,17,01,2024
Connecticut,$3.147,$3.752,$4.145,$4.240,17,01,2024
District of Columbia,$3.198,$3.828,$4.201,$4.309,17,01,2024
Delaware,$2.966,$3.475,$3.763,$3.797,17,01,2024
Florida,$3.051,$3.477,$3.803,$3.806,17,01,2024
Georgia,$2.970,$3.421,$3.802,$3.957,17,01,2024
Hawaii,$4.672,$4.892,$5.140,$5.614,17,01,2024
Iowa,$2.734,$3.068,$3.517,$3.592,17,01,2024
Idaho,$3.028,$3.240,$3.487,$3.898,17,01,2024
Illinois,$3.194,$3.670,$4.107,$3.849,17,01,2024
Indiana,$2.991,$3.477,$3.933,$3.871,17,01,2024
Kansas,$2.654,$2.962,$3.288,$3.608,17,01,2024
Kentucky,$2.855,$3.314,$3.720,$3.693,17,01,2024
Louisiana,$2.765,$3.177,$3.551,$3.579,17,01,2024
Massachusetts,$3.129,$3.724,$4.065,$4.173,17,01,2024
Maryland,$3.097,$3.652,$3.933,$3.888,17,01,2024
Maine,$3.171,$3.577,$4.006,$4.314,17,01,2024
Michigan,$3.009,$3.503,$3.991,$3.869,17,01,2024
Minnesota,$2.788,$3.117,$3.525,$3.784,17,01,2024
Missouri,$2.656,$2.999,$3.305,$3.510,17,01,2024
Mississippi,$2.671,$3.066,$3.446,$3.551,17,01,2024
Montana,$2.902,$3.187,$3.511,$3.645,17,01,2024
North Carolina,$2.940,$3.371,$3.755,$3.870,17,01,2024
North Dakota,$2.786,$3.108,$3.469,$3.896,17,01,2024
Nebraska,$2.768,$3.016,$3.442,$3.607,17,01,2024
New Hampshire,$3.048,$3.526,$3.959,$4.132,17,01,2024
New Jersey,$3.067,$3.678,$3.948,$4.034,17,01,2024
New Mexico,$2.864,$3.249,$3.521,$3.790,17,01,2024
Nevada,$3.804,$4.063,$4.289,$4.102,17,01,2024
New York,$3.280,$3.796,$4.178,$4.420,17,01,2024
Ohio,$2.998,$3.465,$3.929,$3.805,17,01,2024
Oklahoma,$2.587,$2.918,$3.203,$3.406,17,01,2024
Oregon,$3.667,$3.880,$4.099,$4.231,17,01,2024
Pennsylvania,$3.343,$3.755,$4.074,$4.469,17,01,2024
Rhode Island,$3.034,$3.681,$4.029,$4.199,17,01,2024
South Carolina,$2.876,$3.298,$3.653,$3.742,17,01,2024
South Dakota,$2.866,$3.047,$3.517,$3.704,17,01,2024
Tennessee,$2.723,$3.114,$3.490,$3.658,17,01,2024
Texas,$2.676,$3.090,$3.421,$3.493,17,01,2024
Utah,$2.759,$2.988,$3.192,$3.676,17,01,2024
Virginia,$2.962,$3.416,$3.771,$3.904,17,01,2024
Vermont,$3.212,$3.730,$4.171,$4.251,17,01,2024
Washington,$4.006,$4.252,$4.476,$4.812,17,01,2024
Wisconsin,$2.752,$3.223,$3.643,$3.625,17,01,2024
West Virginia,$2.938,$3.298,$3.666,$3.910,17,01,2024
Wyoming,$2.725,$3.003,$3.291,$3.786,17,01,2024
