State,Regular,Mid-Grade,Premium,Diesel,Day,Month,Year,Date
Alaska,$3.545,$3.778,$3.940,$3.915,18,01,2024,2024-01-18
Alabama,$2.812,$3.236,$3.602,$3.736,18,01,2024,2024-01-18
Arkansas,$2.649,$3.043,$3.428,$3.589,18,01,2024,2024-01-18
Arizona,$3.136,$3.442,$3.732,$3.910,18,01,2024,2024-01-18
California,$4.527,$4.743,$4.901,$5.334,18,01,2024,2024-01-18
Colorado,$2.705,$3.074,$3.375,$3.536,18,01,2024,2024-01-18
Connecticut,$3.145,$3.745,$4.149,$4.235,18,01,2024,2024-01-18
District of Columbia,$3.199,$3.836,$4.202,$4.140,18,01,2024,2024-01-18
Delaware,$2.977,$3.484,$3.805,$3.796,18,01,2024,2024-01-18
Florida,$3.033,$3.461,$3.789,$3.792,18,01,2024,2024-01-18
Georgia,$2.970,$3.420,$3.805,$3.956,18,01,2024,2024-01-18
Hawaii,$4.680,$4.897,$5.147,$5.603,18,01,2024,2024-01-18
Iowa,$2.732,$3.066,$3.522,$3.596,18,01,2024,2024-01-18
Idaho,$3.022,$3.218,$3.467,$3.897,18,01,2024,2024-01-18
Illinois,$3.233,$3.730,$4.162,$3.882,18,01,2024,2024-01-18
Indiana,$3.075,$3.550,$4.004,$3.870,18,01,2024,2024-01-18
Kansas,$2.647,$2.955,$3.286,$3.609,18,01,2024,2024-01-18
Kentucky,$2.891,$3.352,$3.764,$3.703,18,01,2024,2024-01-18
Louisiana,$2.762,$3.177,$3.542,$3.583,18,01,2024,2024-01-18
Massachusetts,$3.126,$3.723,$4.065,$4.175,18,01,2024,2024-01-18
Maryland,$3.108,$3.683,$3.971,$3.888,18,01,2024,2024-01-18
Maine,$3.169,$3.576,$4.000,$4.311,18,01,2024,2024-01-18
Michigan,$3.037,$3.535,$4.026,$3.870,18,01,2024,2024-01-18
Minnesota,$2.785,$3.113,$3.525,$3.783,18,01,2024,2024-01-18
Missouri,$2.662,$3.003,$3.311,$3.507,18,01,2024,2024-01-18
Mississippi,$2.677,$3.061,$3.424,$3.548,18,01,2024,2024-01-18
Montana,$2.890,$3.178,$3.495,$3.631,18,01,2024,2024-01-18
North Carolina,$2.940,$3.371,$3.752,$3.873,18,01,2024,2024-01-18
North Dakota,$2.791,$3.100,$3.482,$3.896,18,01,2024,2024-01-18
Nebraska,$2.779,$3.012,$3.457,$3.609,18,01,2024,2024-01-18
New Hampshire,$3.046,$3.530,$3.956,$4.128,18,01,2024,2024-01-18
New Jersey,$3.069,$3.686,$3.955,$4.030,18,01,2024,2024-01-18
New Mexico,$2.886,$3.285,$3.559,$3.792,18,01,2024,2024-01-18
Nevada,$3.803,$4.058,$4.288,$4.100,18,01,2024,2024-01-18
New York,$3.277,$3.790,$4.169,$4.413,18,01,2024,2024-01-18
Ohio,$3.077,$3.523,$3.984,$3.804,18,01,2024,2024-01-18
Oklahoma,$2.605,$2.942,$3.228,$3.412,18,01,2024,2024-01-18
Oregon,$3.663,$3.883,$4.096,$4.226,18,01,2024,2024-01-18
Pennsylvania,$3.348,$3.760,$4.077,$4.470,18,01,2024,2024-01-18
Rhode Island,$3.027,$3.687,$4.026,$4.191,18,01,2024,2024-01-18
South Carolina,$2.872,$3.293,$3.652,$3.740,18,01,2024,2024-01-18
South Dakota,$2.864,$3.018,$3.526,$3.707,18,01,2024,2024-01-18
Tennessee,$2.719,$3.120,$3.494,$3.664,18,01,2024,2024-01-18
Texas,$2.682,$3.107,$3.441,$3.509,18,01,2024,2024-01-18
Utah,$2.754,$2.990,$3.188,$3.672,18,01,2024,2024-01-18
Virginia,$2.970,$3.424,$3.784,$3.906,18,01,2024,2024-01-18
Vermont,$3.208,$3.749,$4.156,$4.250,18,01,2024,2024-01-18
Washington,$3.999,$4.247,$4.467,$4.803,18,01,2024,2024-01-18
Wisconsin,$2.744,$3.210,$3.637,$3.623,18,01,2024,2024-01-18
West Virginia,$2.958,$3.318,$3.690,$3.913,18,01,2024,2024-01-18
Wyoming,$2.719,$2.984,$3.268,$3.774,18,01,2024,2024-01-18
